,runID,module,name,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues,recordingmode,source,title,iaMean,numHosts,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit,legend
10,PureAlohaExperiment-10-20250301-08:48:59-5956,Aloha.server,collisionMultiplicity:histogram,4195.0,4195.0,2.4042908224076283,0.7447675952335931,2.0,9.0,0.0,0.0,[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],[0.000e+00 0.000e+00 2.983e+03 8.610e+02 2.460e+02 8.600e+01 1.300e+01 4.000e+00 1.000e+00 1.000e+00],histogram,collision,collision multiplicity,4,15,PureAlohaExperiment,20250301-08:48:59,20250301-084859,PureAlohaExperiment,omnetpp.ini,"$numHosts=15, $iaMean=4",numHosts=15/iaMean=4,"numHosts=15,iaMean=4-","$numHosts=15, $iaMean=4",Aloha,5956,0,#0,results,10,10,,"iaMean=4, numHosts=15"
17,PureAlohaExperiment-17-20250301-08:49:01-5956,Aloha.server,collisionMultiplicity:histogram,6241.0,6241.0,2.5962185547187953,0.977673090935309,2.0,11.0,0.0,0.0,[ 1.  2.  3.  4.  5.  6.  7.  8.  9. 10. 11. 12.],[0.000e+00 3.915e+03 1.445e+03 5.660e+02 1.850e+02 9.100e+01 2.300e+01 9.000e+00 3.000e+00 1.000e+00 3.000e+00],histogram,collision,collision multiplicity,4,20,PureAlohaExperiment,20250301-08:49:01,20250301-084901,PureAlohaExperiment,omnetpp.ini,"$numHosts=20, $iaMean=4",numHosts=20/iaMean=4,"numHosts=20,iaMean=4-","$numHosts=20, $iaMean=4",Aloha,5956,0,#0,results,17,17,,"iaMean=4, numHosts=20"
4,PureAlohaExperiment-4-20250301-08:48:58-5956,Aloha.server,collisionMultiplicity:histogram,1387.0,1387.0,2.186733958183129,0.46418317591364366,2.0,5.0,0.0,0.0,[1. 2. 3. 4. 5. 6.],[   0. 1165.  192.   23.    7.],histogram,collision,collision multiplicity,5,10,PureAlohaExperiment,20250301-08:48:58,20250301-084858,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=5",numHosts=10/iaMean=5,"numHosts=10,iaMean=5-","$numHosts=10, $iaMean=5",Aloha,5956,0,#0,results,4,4,,"iaMean=5, numHosts=10"
11,PureAlohaExperiment-11-20250301-08:49:00-5956,Aloha.server,collisionMultiplicity:histogram,2932.0,2932.0,2.3137789904502046,0.6300025531041212,2.0,6.0,0.0,0.0,[1. 2. 3. 4. 5. 6. 7.],[   0. 2220.  554.  116.   34.    8.],histogram,collision,collision multiplicity,5,15,PureAlohaExperiment,20250301-08:49:00,20250301-084900,PureAlohaExperiment,omnetpp.ini,"$numHosts=15, $iaMean=5",numHosts=15/iaMean=5,"numHosts=15,iaMean=5-","$numHosts=15, $iaMean=5",Aloha,5956,0,#0,results,11,11,,"iaMean=5, numHosts=15"
18,PureAlohaExperiment-18-20250301-08:49:01-5956,Aloha.server,collisionMultiplicity:histogram,4714.0,4714.0,2.4403903266864657,0.7824932652238664,2.0,8.0,0.0,0.0,[1. 2. 3. 4. 5. 6. 7. 8. 9.],[0.000e+00 3.259e+03 1.013e+03 3.090e+02 1.000e+02 2.300e+01 7.000e+00 3.000e+00],histogram,collision,collision multiplicity,5,20,PureAlohaExperiment,20250301-08:49:01,20250301-084901,PureAlohaExperiment,omnetpp.ini,"$numHosts=20, $iaMean=5",numHosts=20/iaMean=5,"numHosts=20,iaMean=5-","$numHosts=20, $iaMean=5",Aloha,5956,0,#0,results,18,18,,"iaMean=5, numHosts=20"
5,PureAlohaExperiment-5-20250301-08:48:58-5956,Aloha.server,collisionMultiplicity:histogram,842.0,842.0,2.1187648456057007,0.4139705301214959,2.0,8.0,0.0,0.0,[1. 2. 3. 4. 5. 6. 7. 8. 9.],[  0. 759.  71.  10.   1.   0.   0.   1.],histogram,collision,collision multiplicity,7,10,PureAlohaExperiment,20250301-08:48:58,20250301-084858,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=7",numHosts=10/iaMean=7,"numHosts=10,iaMean=7-","$numHosts=10, $iaMean=7",Aloha,5956,0,#0,results,5,5,,"iaMean=7, numHosts=10"
12,PureAlohaExperiment-12-20250301-08:49:00-5956,Aloha.server,collisionMultiplicity:histogram,1714.0,1714.0,2.1971995332555427,0.4912227602727096,2.0,7.0,0.0,0.0,[1. 2. 3. 4. 5. 6. 7. 8.],[0.000e+00 1.434e+03 2.320e+02 4.000e+01 7.000e+00 0.000e+00 1.000e+00],histogram,collision,collision multiplicity,7,15,PureAlohaExperiment,20250301-08:49:00,20250301-084900,PureAlohaExperiment,omnetpp.ini,"$numHosts=15, $iaMean=7",numHosts=15/iaMean=7,"numHosts=15,iaMean=7-","$numHosts=15, $iaMean=7",Aloha,5956,0,#0,results,12,12,,"iaMean=7, numHosts=15"
19,PureAlohaExperiment-19-20250301-08:49:02-5956,Aloha.server,collisionMultiplicity:histogram,2753.0,2753.0,2.2789683981111515,0.6009175004837067,2.0,7.0,0.0,0.0,[1. 2. 3. 4. 5. 6. 7. 8.],[0.000e+00 2.155e+03 4.690e+02 9.500e+01 2.900e+01 3.000e+00 2.000e+00],histogram,collision,collision multiplicity,7,20,PureAlohaExperiment,20250301-08:49:02,20250301-084902,PureAlohaExperiment,omnetpp.ini,"$numHosts=20, $iaMean=7",numHosts=20/iaMean=7,"numHosts=20,iaMean=7-","$numHosts=20, $iaMean=7",Aloha,5956,0,#0,results,19,19,,"iaMean=7, numHosts=20"
6,PureAlohaExperiment-6-20250301-08:48:58-5956,Aloha.server,collisionMultiplicity:histogram,491.0,491.0,2.0977596741344198,0.31071850782533034,2.0,4.0,0.0,0.0,[1. 2. 3. 4. 5.],[  0. 445.  44.   2.],histogram,collision,collision multiplicity,9,10,PureAlohaExperiment,20250301-08:48:58,20250301-084858,PureAlohaExperiment,omnetpp.ini,"$numHosts=10, $iaMean=9",numHosts=10/iaMean=9,"numHosts=10,iaMean=9-","$numHosts=10, $iaMean=9",Aloha,5956,0,#0,results,6,6,,"iaMean=9, numHosts=10"
13,PureAlohaExperiment-13-20250301-08:49:00-5956,Aloha.server,collisionMultiplicity:histogram,1086.0,1086.0,2.1804788213627995,0.4630356168809921,2.0,5.0,0.0,0.0,[1. 2. 3. 4. 5. 6.],[  0. 923. 133.  27.   3.],histogram,collision,collision multiplicity,9,15,PureAlohaExperiment,20250301-08:49:00,20250301-084900,PureAlohaExperiment,omnetpp.ini,"$numHosts=15, $iaMean=9",numHosts=15/iaMean=9,"numHosts=15,iaMean=9-","$numHosts=15, $iaMean=9",Aloha,5956,0,#0,results,13,13,,"iaMean=9, numHosts=15"
20,PureAlohaExperiment-20-20250301-08:49:02-5956,Aloha.server,collisionMultiplicity:histogram,1814.0,1814.0,2.201764057331863,0.48139938674903715,2.0,6.0,0.0,0.0,[1. 2. 3. 4. 5. 6. 7.],[0.000e+00 1.505e+03 2.580e+02 4.600e+01 4.000e+00 1.000e+00],histogram,collision,collision multiplicity,9,20,PureAlohaExperiment,20250301-08:49:02,20250301-084902,PureAlohaExperiment,omnetpp.ini,"$numHosts=20, $iaMean=9",numHosts=20/iaMean=9,"numHosts=20,iaMean=9-","$numHosts=20, $iaMean=9",Aloha,5956,0,#0,results,20,20,,"iaMean=9, numHosts=20"
