,runID,module,name,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues,recordingmode,title,iaMean,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit,legend
0,RBACompara-10-20250302-09:00:43-5824,Aloha.server,collisionLength:histogram,60194.0,60194.0,0.09916806458918663,6.389956337528109e-07,0.099166667751,0.099169137677,0.0,0.0,[0.09916605 0.0991661  0.09916615 0.0991662  0.09916625 0.0991663  0.09916635 0.0991664  0.09916645 0.0991665  0.09916655 0.0991666  0.09916665 0.0991667  0.09916675 0.0991668  0.09916685 0.0991669  0.09916695 0.099167   0.09916705 0.0991671  0.09916715 0.0991672  0.09916725 0.0991673  0.09916735 0.0991674  0.09916745 0.0991675  0.09916755 0.0991676  0.09916765 0.0991677  0.09916775 0.0991678  0.09916785 0.0991679  0.09916795 0.099168   0.09916805 0.0991681  0.09916815 0.0991682  0.09916825 0.0991683  0.09916835 0.0991684  0.09916845 0.0991685  0.09916855 0.0991686  0.09916865 0.0991687  0.09916875 0.0991688  0.09916885 0.0991689  0.09916895 0.099169   0.09916905 0.0991691  0.09916915 0.0991692  0.09916925 0.0991693  0.09916935 0.0991694  0.09916945 0.0991695  0.09916955 0.0991696  0.09916965 0.0991697  0.09916975 0.0991698 ],[   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.  444.  258.  585.  429. 1261.  841.  816.  938.  751.  821.  913. 1324.  497.  748. 1257.  852. 1120.  631.  691.  813.  997.  929. 1285.  482. 1765. 2378. 1697.  984. 1615. 1748. 1673. 2213.  641. 2722. 1820. 3131. 1210.    0. 3055. 1889. 3015.  867.    0.    0. 3788. 1180.    0.    0.    0. 3120.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.],histogram,collision length,0.5,RBACompara,20250302-09:00:43,20250302-090043,RBACompara,omnetpp.ini,"$0=100ms, $iaMean=0.5",100ms/iaMean=0.5,"100ms,iaMean=0.5-","$0=100ms, $iaMean=0.5",Aloha,5824,0,#0,results,10,10,,iaMean=0.5
2,RBACompara-11-20250302-09:00:45-5824,Aloha.server,collisionLength:histogram,38143.0,38143.0,0.09916809105948929,9.102553962507388e-07,0.099166676686,0.099170041427,0.0,0.0,[0.0991659 0.099166  0.0991661 0.0991662 0.0991663 0.0991664 0.0991665 0.0991666 0.0991667 0.0991668 0.0991669 0.099167  0.0991671 0.0991672 0.0991673 0.0991674 0.0991675 0.0991676 0.0991677 0.0991678 0.0991679 0.099168  0.0991681 0.0991682 0.0991683 0.0991684 0.0991685 0.0991686 0.0991687 0.0991688 0.0991689 0.099169  0.0991691 0.0991692 0.0991693 0.0991694 0.0991695 0.0991696 0.0991697 0.0991698 0.0991699 0.09917   0.0991701 0.0991702 0.0991703 0.0991704 0.0991705 0.0991706 0.0991707 0.0991708 0.0991709],[   0.    0.    0.    0.    0.    0.    0.  681.  895. 1126. 2065. 1153. 1254. 2384. 1994. 1213. 1664. 2177.  420. 1118. 1737. 1101.  692.  820. 1259.  681. 1855. 1207.  743.  311. 1566. 1961.  507. 1490. 1323.    0.  776.    0.    0.  873.  527.  570.    0.    0.    0.    0.    0.    0.    0.    0.],histogram,collision length,1,RBACompara,20250302-09:00:45,20250302-090045,RBACompara,omnetpp.ini,"$0=100ms, $iaMean=1",100ms/iaMean=1,"100ms,iaMean=1-","$0=100ms, $iaMean=1",Aloha,5824,0,#0,results,11,11,,iaMean=1
1,RBACompara-12-20250302-09:00:45-5824,Aloha.server,collisionLength:histogram,24796.0,24796.0,0.09916791997836344,7.647450476488955e-07,0.099166676108,0.09916952475,0.0,0.0,[0.099166   0.09916605 0.0991661  0.09916615 0.0991662  0.09916625 0.0991663  0.09916635 0.0991664  0.09916645 0.0991665  0.09916655 0.0991666  0.09916665 0.0991667  0.09916675 0.0991668  0.09916685 0.0991669  0.09916695 0.099167   0.09916705 0.0991671  0.09916715 0.0991672  0.09916725 0.0991673  0.09916735 0.0991674  0.09916745 0.0991675  0.09916755 0.0991676  0.09916765 0.0991677  0.09916775 0.0991678  0.09916785 0.0991679  0.09916795 0.099168   0.09916805 0.0991681  0.09916815 0.0991682  0.09916825 0.0991683  0.09916835 0.0991684  0.09916845 0.0991685  0.09916855 0.0991686  0.09916865 0.0991687  0.09916875 0.0991688  0.09916885 0.0991689  0.09916895 0.099169   0.09916905 0.0991691  0.09916915 0.0991692  0.09916925 0.0991693  0.09916935 0.0991694  0.09916945 0.0991695  0.09916955 0.0991696  0.09916965 0.0991697  0.09916975 0.0991698  0.09916985 0.0991699  0.09916995 0.09917    0.09917005 0.0991701  0.09917015 0.0991702  0.09917025],[   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.  253.  453.  561.  258.  657.  460. 1025.  516.  373.  656.  550.  366.  389.  217.  625.  787.  623.  422.    0.  478.  450.  721.  497.  493.  372.  792.  973.  278.  593.  674.  407. 1120.  165.  708.    0.  430.  487.  342.  387.  353.  383.  325.  344.  182.    0.  452.  600.  167.  360.    0.  198.  222.  648.  257.    0.  255.  252.  240.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.],histogram,collision length,1.5,RBACompara,20250302-09:00:45,20250302-090045,RBACompara,omnetpp.ini,"$0=100ms, $iaMean=1.5",100ms/iaMean=1.5,"100ms,iaMean=1.5-","$0=100ms, $iaMean=1.5",Aloha,5824,0,#0,results,12,12,,iaMean=1.5
4,RBACompara-13-20250302-09:00:46-5824,Aloha.server,collisionLength:histogram,16994.0,16994.0,0.0991675934873779,5.804460328124048e-07,0.099166672593,0.099168705006,0.0,0.0,[0.09916615 0.0991662  0.09916625 0.0991663  0.09916635 0.0991664  0.09916645 0.0991665  0.09916655 0.0991666  0.09916665 0.0991667  0.09916675 0.0991668  0.09916685 0.0991669  0.09916695 0.099167   0.09916705 0.0991671  0.09916715 0.0991672  0.09916725 0.0991673  0.09916735 0.0991674  0.09916745 0.0991675  0.09916755 0.0991676  0.09916765 0.0991677  0.09916775 0.0991678  0.09916785 0.0991679  0.09916795 0.099168   0.09916805 0.0991681  0.09916815 0.0991682  0.09916825 0.0991683  0.09916835 0.0991684  0.09916845 0.0991685  0.09916855 0.0991686  0.09916865 0.0991687  0.09916875 0.0991688  0.09916885 0.0991689  0.09916895 0.099169   0.09916905 0.0991691  0.09916915 0.0991692 ],[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0. 121. 861. 595. 497. 571. 447. 361. 652. 287. 382. 436. 710. 403. 414. 312. 331. 348. 449. 350. 319. 617. 474. 481. 487. 210. 524. 625. 814. 277. 487. 178. 221. 332. 202. 118. 228. 361. 549. 309. 357. 143. 154.   0.   0.   0.   0.   0.   0.   0.   0.   0.],histogram,collision length,2,RBACompara,20250302-09:00:46,20250302-090046,RBACompara,omnetpp.ini,"$0=100ms, $iaMean=2",100ms/iaMean=2,"100ms,iaMean=2-","$0=100ms, $iaMean=2",Aloha,5824,0,#0,results,13,13,,iaMean=2
3,RBACompara-14-20250302-09:00:46-5824,Aloha.server,collisionLength:histogram,12476.0,12476.0,0.0991677488308833,7.302236523567053e-07,0.099166669425,0.099169577942,0.0,0.0,[0.099166   0.09916605 0.0991661  0.09916615 0.0991662  0.09916625 0.0991663  0.09916635 0.0991664  0.09916645 0.0991665  0.09916655 0.0991666  0.09916665 0.0991667  0.09916675 0.0991668  0.09916685 0.0991669  0.09916695 0.099167   0.09916705 0.0991671  0.09916715 0.0991672  0.09916725 0.0991673  0.09916735 0.0991674  0.09916745 0.0991675  0.09916755 0.0991676  0.09916765 0.0991677  0.09916775 0.0991678  0.09916785 0.0991679  0.09916795 0.099168   0.09916805 0.0991681  0.09916815 0.0991682  0.09916825 0.0991683  0.09916835 0.0991684  0.09916845 0.0991685  0.09916855 0.0991686  0.09916865 0.0991687  0.09916875 0.0991688  0.09916885 0.0991689  0.09916895 0.099169   0.09916905 0.0991691  0.09916915 0.0991692  0.09916925 0.0991693  0.09916935 0.0991694  0.09916945 0.0991695  0.09916955 0.0991696  0.09916965 0.0991697  0.09916975 0.0991698  0.09916985 0.0991699  0.09916995],[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0. 261. 455. 409. 193. 236. 112. 360. 471. 458. 305. 191. 263. 286. 173. 465. 839. 118. 297.  52. 251.   0. 448. 749. 429. 239. 142.   0. 135.   0. 444. 371.  80.  57. 210. 179.   0. 542. 338. 275.  75.  69.   0.  86. 159. 269. 266.  92.   0.  72.   0.   0. 200.  77.   0.   0.  84.   0.   0. 194.   0.   0.   0.   0.   0.   0.   0.],histogram,collision length,2.5,RBACompara,20250302-09:00:46,20250302-090046,RBACompara,omnetpp.ini,"$0=100ms, $iaMean=2.5",100ms/iaMean=2.5,"100ms,iaMean=2.5-","$0=100ms, $iaMean=2.5",Aloha,5824,0,#0,results,14,14,,iaMean=2.5
6,RBACompara-15-20250302-09:00:47-5824,Aloha.server,collisionLength:histogram,9474.0,9474.0,0.09916775538654633,7.332777498146634e-07,0.099166684179,0.099169729058,0.0,0.0,[0.0991659 0.099166  0.0991661 0.0991662 0.0991663 0.0991664 0.0991665 0.0991666 0.0991667 0.0991668 0.0991669 0.099167  0.0991671 0.0991672 0.0991673 0.0991674 0.0991675 0.0991676 0.0991677 0.0991678 0.0991679 0.099168  0.0991681 0.0991682 0.0991683 0.0991684 0.0991685 0.0991686 0.0991687 0.0991688 0.0991689 0.099169  0.0991691 0.0991692 0.0991693 0.0991694 0.0991695 0.0991696 0.0991697 0.0991698 0.0991699 0.09917   0.0991701 0.0991702 0.0991703 0.0991704 0.0991705],[  0.   0.   0.   0.   0.   0.   0. 118. 393. 553. 451. 594. 555. 435. 560. 486. 531. 440. 244. 348. 523. 430. 255. 344. 524. 162. 232.  57. 302. 199. 141.  81.   0. 186.  71.   0.   0. 150. 109.   0.   0.   0.   0.   0.   0.   0.],histogram,collision length,3,RBACompara,20250302-09:00:47,20250302-090047,RBACompara,omnetpp.ini,"$0=100ms, $iaMean=3",100ms/iaMean=3,"100ms,iaMean=3-","$0=100ms, $iaMean=3",Aloha,5824,0,#0,results,15,15,,iaMean=3
5,RBACompara-16-20250302-09:00:47-5824,Aloha.server,collisionLength:histogram,7369.0,7369.0,0.09916745492810558,5.64435111740979e-07,0.099166671135,0.099169275748,0.0,0.0,[0.099166   0.09916605 0.0991661  0.09916615 0.0991662  0.09916625 0.0991663  0.09916635 0.0991664  0.09916645 0.0991665  0.09916655 0.0991666  0.09916665 0.0991667  0.09916675 0.0991668  0.09916685 0.0991669  0.09916695 0.099167   0.09916705 0.0991671  0.09916715 0.0991672  0.09916725 0.0991673  0.09916735 0.0991674  0.09916745 0.0991675  0.09916755 0.0991676  0.09916765 0.0991677  0.09916775 0.0991678  0.09916785 0.0991679  0.09916795 0.099168   0.09916805 0.0991681  0.09916815 0.0991682  0.09916825 0.0991683  0.09916835 0.0991684  0.09916845 0.0991685  0.09916855 0.0991686  0.09916865 0.0991687  0.09916875 0.0991688  0.09916885 0.0991689  0.09916895 0.099169   0.09916905 0.0991691  0.09916915 0.0991692  0.09916925 0.0991693  0.09916935 0.0991694  0.09916945 0.0991695  0.09916955 0.0991696  0.09916965 0.0991697  0.09916975 0.0991698  0.09916985 0.0991699  0.09916995],[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0. 130. 337. 348. 156. 378. 254. 248. 240.  67. 459. 366. 313. 166. 187. 224. 298. 275. 154. 145. 310. 124. 112.  89. 128. 242. 148. 175. 102. 184.  73. 119.  85.   0.  98. 105. 209. 109.   0.   0.   0.   0.   0.  57.   0.   0.  53.   0.   0.   0.   0.   0.  46.  56.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.],histogram,collision length,3.5,RBACompara,20250302-09:00:47,20250302-090047,RBACompara,omnetpp.ini,"$0=100ms, $iaMean=3.5",100ms/iaMean=3.5,"100ms,iaMean=3.5-","$0=100ms, $iaMean=3.5",Aloha,5824,0,#0,results,16,16,,iaMean=3.5
8,RBACompara-17-20250302-09:00:47-5824,Aloha.server,collisionLength:histogram,6030.0,6030.0,0.09916751377883748,5.441510170370625e-07,0.099166670075,0.099169018978,0.0,0.0,[0.0991662  0.09916625 0.0991663  0.09916635 0.0991664  0.09916645 0.0991665  0.09916655 0.0991666  0.09916665 0.0991667  0.09916675 0.0991668  0.09916685 0.0991669  0.09916695 0.099167   0.09916705 0.0991671  0.09916715 0.0991672  0.09916725 0.0991673  0.09916735 0.0991674  0.09916745 0.0991675  0.09916755 0.0991676  0.09916765 0.0991677  0.09916775 0.0991678  0.09916785 0.0991679  0.09916795 0.099168   0.09916805 0.0991681  0.09916815 0.0991682  0.09916825 0.0991683  0.09916835 0.0991684  0.09916845 0.0991685  0.09916855 0.0991686  0.09916865 0.0991687  0.09916875 0.0991688  0.09916885 0.0991689  0.09916895 0.099169   0.09916905 0.0991691  0.09916915],[  0.   0.   0.   0.   0.   0.   0.   0.   0.  75. 248. 129. 243. 163. 267. 132. 162. 246. 258. 160. 199. 219. 211. 271.  38. 152. 176. 242. 100.  71. 273. 133. 170. 179. 115. 125. 205. 109. 153.  73.  58.  82.  38.  74. 121.  95.  78.  30.  47.  30.   0.   0.   0.   0.  43.   0.  37.   0.   0.],histogram,collision length,4,RBACompara,20250302-09:00:47,20250302-090047,RBACompara,omnetpp.ini,"$0=100ms, $iaMean=4",100ms/iaMean=4,"100ms,iaMean=4-","$0=100ms, $iaMean=4",Aloha,5824,0,#0,results,17,17,,iaMean=4
7,RBACompara-18-20250302-09:00:48-5824,Aloha.server,collisionLength:histogram,5053.0,5053.0,0.09916776164320998,7.320374978229258e-07,0.099166692479,0.099169928031,0.0,0.0,[0.0991658 0.0991659 0.099166  0.0991661 0.0991662 0.0991663 0.0991664 0.0991665 0.0991666 0.0991667 0.0991668 0.0991669 0.099167  0.0991671 0.0991672 0.0991673 0.0991674 0.0991675 0.0991676 0.0991677 0.0991678 0.0991679 0.099168  0.0991681 0.0991682 0.0991683 0.0991684 0.0991685 0.0991686 0.0991687 0.0991688 0.0991689 0.099169  0.0991691 0.0991692 0.0991693 0.0991694 0.0991695 0.0991696 0.0991697 0.0991698 0.0991699 0.09917   0.0991701 0.0991702 0.0991703 0.0991704 0.0991705 0.0991706 0.0991707 0.0991708],[  0.   0.   0.   0.   0.   0.   0.   0.  81. 241. 184. 236. 350. 263. 281. 160. 307. 350. 260. 233. 250. 160. 170. 215. 143. 138. 147. 109. 145. 125.  57.  29. 147.  93.   0.  27.  67.  27.  23.   0.   0.  35.   0.   0.   0.   0.   0.   0.   0.   0.],histogram,collision length,4.5,RBACompara,20250302-09:00:48,20250302-090048,RBACompara,omnetpp.ini,"$0=100ms, $iaMean=4.5",100ms/iaMean=4.5,"100ms,iaMean=4.5-","$0=100ms, $iaMean=4.5",Aloha,5824,0,#0,results,18,18,,iaMean=4.5
9,RBACompara-19-20250302-09:00:48-5824,Aloha.server,collisionLength:histogram,4140.0,4140.0,0.09916747306823188,6.315034574621885e-07,0.099166668171,0.099169582739,0.0,0.0,[0.09916595 0.099166   0.09916605 0.0991661  0.09916615 0.0991662  0.09916625 0.0991663  0.09916635 0.0991664  0.09916645 0.0991665  0.09916655 0.0991666  0.09916665 0.0991667  0.09916675 0.0991668  0.09916685 0.0991669  0.09916695 0.099167   0.09916705 0.0991671  0.09916715 0.0991672  0.09916725 0.0991673  0.09916735 0.0991674  0.09916745 0.0991675  0.09916755 0.0991676  0.09916765 0.0991677  0.09916775 0.0991678  0.09916785 0.0991679  0.09916795 0.099168   0.09916805 0.0991681  0.09916815 0.0991682  0.09916825 0.0991683  0.09916835 0.0991684  0.09916845 0.0991685  0.09916855 0.0991686  0.09916865 0.0991687  0.09916875 0.0991688  0.09916885 0.0991689  0.09916895 0.099169   0.09916905 0.0991691  0.09916915 0.0991692  0.09916925 0.0991693  0.09916935 0.0991694  0.09916945 0.0991695  0.09916955 0.0991696  0.09916965 0.0991697  0.09916975 0.0991698  0.09916985 0.0991699  0.09916995 0.09917    0.09917005 0.0991701  0.09917015 0.0991702  0.09917025 0.0991703  0.09917035],[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0. 219.  79. 150. 178. 145.  65. 254.  82. 250. 106. 162. 182.  61.  91. 206. 156. 105. 184. 186.  78.  66.  59.  71.  60.  24.  18. 147.  21.  49.  89.  22.   0. 138.  56.  21.   0.   0.   0.  26.   0.  77.   0.   0.  43.  60.   0.  30.  29.  53.   0.   0.   0.   0.   0.   0.   0.   0.   0.  42.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.],histogram,collision length,5,RBACompara,20250302-09:00:48,20250302-090048,RBACompara,omnetpp.ini,"$0=100ms, $iaMean=5",100ms/iaMean=5,"100ms,iaMean=5-","$0=100ms, $iaMean=5",Aloha,5824,0,#0,results,19,19,,iaMean=5
